name: r201-6, Alg: 5, number particle: 15
08-12 at 14:07:29, name: rc202-1, Alg: random14, #particle: 20 seed: 1
08-12 at 15:03:50, name: rc202-1, Alg: random16, #particle: 20 seed: 1
08-12 at 15:25:30, name: rc203-1, Alg: random14, #particle: 20 seed: 1
08-12 at 15:27:13, name: rc202-1, Alg: random15, #particle: 20 seed: 1
08-12 at 15:36:27, name: rc202-1, Alg: 16, #particle: 20, seed: 1
08-12 at 15:48:32, name: rc202-1, Alg: 14, #particle: 20, seed: 1
08-12 at 16:07:05, name: rc202-1, Alg: 15, #particle: 20, seed: 1
08-12 at 16:36:46, name: rc204-1, Alg: random14, #particle: 20 seed: 1
08-12 at 16:38:14, name: rc101-14, Alg: random16, #particle: 15 seed: 1
08-12 at 16:40:05, name: rc201-5, Alg: random16, #particle: 15 seed: 1
08-12 at 16:49:57, name: rc203-1, Alg: random15, #particle: 20 seed: 1
08-12 at 17:03:20, name: rc203-1, Alg: random16, #particle: 20 seed: 1
08-12 at 17:24:02, name: rc203-1, Alg: 16, #particle: 20, seed: 1
08-12 at 17:32:34, name: rc203-1, Alg: 14, #particle: 20, seed: 1
08-12 at 17:41:21, name: rc205-1, Alg: random14, #particle: 20 seed: 1
08-12 at 18:00:36, name: rc203-1, Alg: 15, #particle: 20, seed: 1
08-12 at 18:34:05, name: rc204-1, Alg: random16, #particle: 20 seed: 1
08-12 at 19:08:18, name: rc204-1, Alg: 14, #particle: 20, seed: 1
08-12 at 19:17:20, name: rc206-2, Alg: random14, #particle: 20 seed: 1
08-12 at 19:28:39, name: rc204-1, Alg: random15, #particle: 20 seed: 1
08-12 at 19:50:59, name: rc205-1, Alg: random16, #particle: 20 seed: 1
08-12 at 20:17:05, name: rc204-1, Alg: 16, #particle: 20, seed: 1
08-12 at 20:41:29, name: rc207-1, Alg: random14, #particle: 20 seed: 1
08-12 at 21:16:00, name: rc204-1, Alg: 15, #particle: 20, seed: 1
08-12 at 21:17:06, name: rc205-1, Alg: 14, #particle: 20, seed: 1
08-12 at 21:38:59, name: rc205-1, Alg: random15, #particle: 20 seed: 1
08-12 at 21:48:50, name: rc205-1, Alg: 16, #particle: 20, seed: 1
08-12 at 21:52:57, name: rc208-2, Alg: random14, #particle: 20 seed: 1
08-12 at 21:55:05, name: rc206-2, Alg: random16, #particle: 20 seed: 1
08-12 at 22:47:50, name: rc202-5, Alg: random16, #particle: 15 seed: 1
08-12 at 22:48:20, name: rc102-14, Alg: random16, #particle: 15 seed: 1
08-12 at 22:57:58, name: rc205-1, Alg: 15, #particle: 20, seed: 1
08-12 at 23:06:54, name: rc207-1, Alg: random16, #particle: 20 seed: 1
08-12 at 23:47:33, name: rc206-1, Alg: 14, #particle: 20, seed: 1
08-13 at 00:14:47, name: rc206-2, Alg: 16, #particle: 20, seed: 1
08-13 at 00:17:49, name: rc201-1, Alg: random14, #particle: 25 seed: 1
08-13 at 00:46:16, name: rc206-1, Alg: 15, #particle: 20, seed: 1
08-13 at 00:53:08, name: rc206-1, Alg: random15, #particle: 20 seed: 1
08-13 at 01:02:31, name: rc208-2, Alg: random16, #particle: 20 seed: 1
08-13 at 01:11:37, name: rc207-1, Alg: 16, #particle: 20, seed: 1
08-13 at 01:15:47, name: rc107-15, Alg: 5, #particle: 15, seed: 1
08-13 at 01:53:50, name: rc207-1, Alg: 14, #particle: 20, seed: 1
08-13 at 02:43:59, name: rc208-1, Alg: 16, #particle: 20, seed: 1
08-13 at 02:52:30, name: rc207-1, Alg: random15, #particle: 20 seed: 1
08-13 at 02:52:42, name: rc207-1, Alg: 15, #particle: 20, seed: 1
08-13 at 03:14:52, name: rc201-1, Alg: random16, #particle: 25 seed: 1
08-13 at 03:43:23, name: rc202-1, Alg: random14, #particle: 25 seed: 1
08-13 at 03:55:12, name: rc208-1, Alg: 14, #particle: 20, seed: 1
08-13 at 04:27:50, name: rc208-1, Alg: random15, #particle: 20 seed: 1
08-13 at 04:45:56, name: rc201-1, Alg: 16, #particle: 25, seed: 1
08-13 at 04:56:21, name: rc208-1, Alg: 15, #particle: 20, seed: 1
08-13 at 05:59:35, name: rc203-1, Alg: random14, #particle: 25 seed: 1
08-13 at 05:59:56, name: rc201-1, Alg: 14, #particle: 25, seed: 1
08-13 at 06:08:52, name: rc202-1, Alg: random16, #particle: 25 seed: 1
08-13 at 06:33:01, name: rc201-1, Alg: random15, #particle: 25 seed: 1
08-13 at 07:22:34, name: rc202-1, Alg: 16, #particle: 25, seed: 1
08-13 at 07:23:44, name: rc204-1, Alg: random14, #particle: 25 seed: 1
08-13 at 07:40:30, name: rc203-1, Alg: random16, #particle: 25 seed: 1
08-13 at 07:45:51, name: rc203-5, Alg: random16, #particle: 15 seed: 1
08-13 at 07:52:30, name: rc103-11, Alg: random16, #particle: 15 seed: 1
08-13 at 08:06:47, name: rc202-1, Alg: 14, #particle: 25, seed: 1
08-13 at 08:33:10, name: rc201-1, Alg: 15, #particle: 25, seed: 1
08-13 at 08:48:24, name: rc107-10, Alg: 8, #particle: 15, seed: 1
08-13 at 09:13:55, name: rc203-1, Alg: 16, #particle: 25, seed: 1
08-13 at 09:27:22, name: rc202-1, Alg: random15, #particle: 25 seed: 1
08-13 at 09:36:50, name: rc205-1, Alg: random14, #particle: 25 seed: 1
08-13 at 09:39:24, name: rc204-1, Alg: random16, #particle: 25 seed: 1
08-13 at 11:33:54, name: rc206-2, Alg: random14, #particle: 25 seed: 1
08-13 at 11:35:27, name: rc203-1, Alg: 14, #particle: 25, seed: 1
08-13 at 11:45:18, name: rc203-1, Alg: random15, #particle: 25 seed: 1
08-13 at 11:50:03, name: rc205-1, Alg: random16, #particle: 25 seed: 1
08-13 at 12:17:56, name: rc204-1, Alg: 16, #particle: 25, seed: 1
08-13 at 13:35:26, name: rc204-5, Alg: random16, #particle: 15 seed: 1
08-13 at 13:54:56, name: rc202-1, Alg: 15, #particle: 25, seed: 1
08-13 at 14:00:55, name: rc204-1, Alg: 14, #particle: 25, seed: 1
08-13 at 14:16:57, name: rc206-2, Alg: random16, #particle: 25 seed: 1
08-13 at 14:22:52, name: rc205-1, Alg: 16, #particle: 25, seed: 1
08-13 at 14:46:03, name: rc207-1, Alg: random14, #particle: 25 seed: 1
08-13 at 16:18:24, name: rc204-1, Alg: random15, #particle: 25 seed: 1
08-13 at 16:22:16, name: rc207-1, Alg: random16, #particle: 25 seed: 1
08-13 at 16:25:21, name: rc104-9, Alg: random16, #particle: 15 seed: 1
08-13 at 16:28:10, name: rc205-1, Alg: 14, #particle: 25, seed: 1
08-13 at 16:35:10, name: rc107-5, Alg: 10, #particle: 15, seed: 1
08-13 at 17:07:07, name: rc206-2, Alg: 16, #particle: 25, seed: 1
08-13 at 17:32:50, name: rc208-2, Alg: random14, #particle: 25 seed: 1
08-13 at 18:12:55, name: rc206-1, Alg: 14, #particle: 25, seed: 1
08-13 at 18:34:10, name: rc208-2, Alg: random16, #particle: 25 seed: 1
08-13 at 19:03:35, name: rc203-1, Alg: 15, #particle: 25, seed: 1
08-13 at 19:48:46, name: rc207-1, Alg: 16, #particle: 25, seed: 1
08-13 at 20:18:45, name: rc205-5, Alg: random16, #particle: 15 seed: 1
08-13 at 21:06:53, name: rc201-1, Alg: random14, #particle: 30 seed: 1
08-13 at 21:13:05, name: rc205-1, Alg: random15, #particle: 25 seed: 1
08-13 at 21:52:58, name: rc201-1, Alg: random16, #particle: 30 seed: 1
08-13 at 21:56:55, name: rc208-1, Alg: 16, #particle: 25, seed: 1
08-13 at 22:03:38, name: rc207-1, Alg: 14, #particle: 25, seed: 1
08-13 at 23:24:06, name: rc105-9, Alg: random16, #particle: 15 seed: 1
08-13 at 23:24:15, name: rc202-1, Alg: random14, #particle: 30 seed: 1
08-13 at 23:38:35, name: rc206-1, Alg: random15, #particle: 25 seed: 1
08-13 at 23:58:53, name: rc107-5, Alg: 11, #particle: 15, seed: 1
08-14 at 00:01:30, name: rc204-1, Alg: 15, #particle: 25, seed: 1
08-14 at 01:08:20, name: rc201-1, Alg: 16, #particle: 30, seed: 1
08-14 at 01:13:40, name: rc202-1, Alg: random16, #particle: 30 seed: 1
08-14 at 02:45:25, name: rc207-1, Alg: random15, #particle: 25 seed: 1
08-14 at 02:53:26, name: rc208-1, Alg: 14, #particle: 25, seed: 1
08-14 at 03:38:04, name: rc203-1, Alg: random16, #particle: 30 seed: 1
08-14 at 04:12:55, name: rc203-1, Alg: random14, #particle: 30 seed: 1
08-14 at 04:23:20, name: rc205-1, Alg: 15, #particle: 25, seed: 1
08-14 at 04:29:29, name: rc206-5, Alg: random16, #particle: 15 seed: 1
08-14 at 04:56:26, name: rc106-9, Alg: random16, #particle: 15 seed: 1
08-14 at 05:11:46, name: rc201-1, Alg: 14, #particle: 30, seed: 1
08-14 at 05:31:06, name: rc202-1, Alg: 16, #particle: 30, seed: 1
08-14 at 06:58:19, name: rc206-1, Alg: 15, #particle: 25, seed: 1
08-14 at 07:04:14, name: rc208-1, Alg: random15, #particle: 25 seed: 1
08-14 at 07:39:04, name: rc204-1, Alg: random16, #particle: 30 seed: 1
08-14 at 08:08:13, name: rc107-5, Alg: 13, #particle: 15, seed: 1
08-14 at 08:27:39, name: rc204-1, Alg: random14, #particle: 30 seed: 1
08-14 at 09:58:50, name: rc202-1, Alg: 14, #particle: 30, seed: 1
08-14 at 10:06:13, name: rc203-1, Alg: 16, #particle: 30, seed: 1
08-14 at 10:14:16, name: rc207-1, Alg: 15, #particle: 25, seed: 1
08-14 at 10:40:15, name: rc205-1, Alg: random16, #particle: 30 seed: 1
08-14 at 11:40:00, name: rc201-1, Alg: random15, #particle: 30 seed: 1
08-14 at 11:42:20, name: rc205-1, Alg: random14, #particle: 30 seed: 1
08-14 at 12:33:28, name: rc203-1, Alg: 14, #particle: 30, seed: 1
08-14 at 13:06:51, name: rc206-2, Alg: random16, #particle: 30 seed: 1
08-14 at 13:07:04, name: rc107-9, Alg: random16, #particle: 15 seed: 1
08-14 at 13:31:44, name: rc204-1, Alg: 16, #particle: 30, seed: 1
08-14 at 13:45:16, name: rc207-5, Alg: random16, #particle: 15 seed: 1
08-14 at 15:08:29, name: rc207-1, Alg: random16, #particle: 30 seed: 1
08-14 at 15:25:23, name: rc206-2, Alg: random14, #particle: 30 seed: 1
08-14 at 16:06:35, name: rc202-1, Alg: random15, #particle: 30 seed: 1
08-14 at 16:22:56, name: rc204-1, Alg: 14, #particle: 30, seed: 1
08-14 at 16:42:59, name: rc208-1, Alg: 15, #particle: 25, seed: 1
08-14 at 16:43:47, name: rc205-1, Alg: 16, #particle: 30, seed: 1
08-14 at 17:04:41, name: rc107-5, Alg: 14, #particle: 15, seed: 1
08-14 at 17:24:20, name: rc207-1, Alg: random14, #particle: 30 seed: 1
08-14 at 17:32:38, name: rc208-2, Alg: random16, #particle: 30 seed: 1
08-14 at 18:53:31, name: rc205-1, Alg: 14, #particle: 30, seed: 1
08-14 at 19:04:09, name: rc206-2, Alg: 16, #particle: 30, seed: 1
08-14 at 19:36:29, name: rc201-1, Alg: 15, #particle: 30, seed: 1
08-14 at 20:33:27, name: rc201-1, Alg: random16, #particle: 35 seed: 1
08-14 at 20:45:03, name: rc108-9, Alg: random16, #particle: 15 seed: 1
08-14 at 21:16:02, name: rc206-1, Alg: 14, #particle: 30, seed: 1
08-14 at 21:47:48, name: rc208-2, Alg: random14, #particle: 30 seed: 1
08-14 at 22:54:27, name: rc207-1, Alg: 16, #particle: 30, seed: 1
08-14 at 22:59:26, name: rc208-5, Alg: random16, #particle: 15 seed: 1
08-14 at 23:58:16, name: rc201-1, Alg: random14, #particle: 35 seed: 1
08-15 at 00:06:22, name: rc203-1, Alg: random15, #particle: 30 seed: 1
08-15 at 00:28:04, name: rc202-1, Alg: random16, #particle: 35 seed: 1
08-15 at 01:06:39, name: rc202-1, Alg: 15, #particle: 30, seed: 1
08-15 at 02:19:07, name: rc208-1, Alg: 16, #particle: 30, seed: 1
08-15 at 02:19:52, name: rc202-1, Alg: random14, #particle: 35 seed: 1
08-15 at 03:11:23, name: rc207-1, Alg: 14, #particle: 30, seed: 1
08-15 at 04:01:51, name: rc204-1, Alg: random15, #particle: 30 seed: 1
08-15 at 04:02:31, name: rc101-19, Alg: random16, #particle: 15 seed: 1
08-15 at 04:31:36, name: rc203-1, Alg: random14, #particle: 35 seed: 1
08-15 at 05:31:05, name: rc203-1, Alg: 15, #particle: 30, seed: 1
08-15 at 05:47:21, name: rc208-1, Alg: 14, #particle: 30, seed: 1
08-15 at 05:47:27, name: rc107-5, Alg: 15, #particle: 15, seed: 1
08-15 at 05:48:46, name: rc203-1, Alg: random16, #particle: 35 seed: 1
08-15 at 06:36:42, name: rc204-1, Alg: random14, #particle: 35 seed: 1
08-15 at 06:53:24, name: rc201-1, Alg: 16, #particle: 35, seed: 1
08-15 at 07:28:22, name: rc201-10, Alg: random16, #particle: 15 seed: 1
08-15 at 08:22:31, name: rc205-1, Alg: random15, #particle: 30 seed: 1
08-15 at 08:35:17, name: rc201-1, Alg: 14, #particle: 35, seed: 1
08-15 at 09:06:09, name: rc205-1, Alg: random14, #particle: 35 seed: 1
08-15 at 10:45:21, name: rc204-1, Alg: 15, #particle: 30, seed: 1
08-15 at 11:10:40, name: rc202-1, Alg: 16, #particle: 35, seed: 1
08-15 at 11:45:55, name: rc206-1, Alg: random15, #particle: 30 seed: 1
08-15 at 11:54:36, name: rc206-2, Alg: random14, #particle: 35 seed: 1
08-15 at 12:11:26, name: rc204-1, Alg: random16, #particle: 35 seed: 1
08-15 at 12:38:22, name: rc202-1, Alg: 14, #particle: 35, seed: 1
08-15 at 13:45:05, name: rc102-19, Alg: random16, #particle: 15 seed: 1
08-15 at 14:09:45, name: rc107-5, Alg: 16, #particle: 15, seed: 1
08-15 at 14:25:50, name: rc207-1, Alg: random14, #particle: 35 seed: 1
08-15 at 15:01:42, name: rc203-1, Alg: 16, #particle: 35, seed: 1
08-15 at 15:18:17, name: rc207-1, Alg: random15, #particle: 30 seed: 1
08-15 at 15:18:37, name: rc202-10, Alg: random16, #particle: 15 seed: 1
08-15 at 17:18:01, name: rc205-1, Alg: 15, #particle: 30, seed: 1
08-15 at 17:30:28, name: rc208-2, Alg: random14, #particle: 35 seed: 1
08-15 at 17:41:11, name: rc205-1, Alg: random16, #particle: 35 seed: 1
08-15 at 17:42:22, name: rc203-1, Alg: 14, #particle: 35, seed: 1
08-15 at 19:44:30, name: rc204-1, Alg: 14, #particle: 35, seed: 1
08-15 at 20:08:21, name: rc204-1, Alg: 16, #particle: 35, seed: 1
08-15 at 20:41:10, name: rc206-2, Alg: random16, #particle: 35 seed: 1
08-15 at 20:53:34, name: rc206-1, Alg: 15, #particle: 30, seed: 1
08-15 at 21:12:30, name: rc208-1, Alg: random15, #particle: 30 seed: 1
08-15 at 22:17:13, name: rc203-10, Alg: random16, #particle: 15 seed: 1
08-15 at 22:41:13, name: rc103-16, Alg: random16, #particle: 15 seed: 1
08-15 at 23:40:33, name: rc205-1, Alg: 16, #particle: 35, seed: 1
08-15 at 23:42:17, name: rc207-1, Alg: 15, #particle: 30, seed: 1
08-15 at 23:42:17, name: rc207-1, Alg: random16, #particle: 35 seed: 1
08-16 at 00:00:56, name: rc201-1, Alg: random15, #particle: 35 seed: 1
08-16 at 00:11:28, name: rc205-1, Alg: 14, #particle: 35, seed: 1
08-16 at 02:58:10, name: rc206-1, Alg: 14, #particle: 35, seed: 1
08-16 at 03:00:19, name: rc206-2, Alg: 16, #particle: 35, seed: 1
08-16 at 03:57:58, name: rc202-1, Alg: random15, #particle: 35 seed: 1
08-16 at 04:27:09, name: rc208-2, Alg: random16, #particle: 35 seed: 1
08-16 at 05:31:23, name: rc104-14, Alg: random16, #particle: 15 seed: 1
08-16 at 06:34:54, name: rc208-1, Alg: 15, #particle: 30, seed: 1
08-16 at 06:54:38, name: rc204-10, Alg: random16, #particle: 15 seed: 1
08-16 at 08:06:09, name: rc203-1, Alg: random15, #particle: 35 seed: 1
08-16 at 08:18:43, name: rc207-1, Alg: 16, #particle: 35, seed: 1
08-16 at 08:31:48, name: rc207-1, Alg: 14, #particle: 35, seed: 1
08-16 at 10:38:44, name: rc204-1, Alg: random15, #particle: 35 seed: 1
08-16 at 10:58:24, name: rc201-1, Alg: 15, #particle: 35, seed: 1
08-16 at 12:08:23, name: rc208-1, Alg: 14, #particle: 35, seed: 1
08-16 at 13:00:14, name: rc208-1, Alg: 16, #particle: 35, seed: 1
08-16 at 13:20:58, name: rc105-14, Alg: random16, #particle: 15 seed: 1
08-16 at 14:32:57, name: rc205-10, Alg: random16, #particle: 15 seed: 1
08-16 at 15:55:14, name: rc202-1, Alg: 15, #particle: 35, seed: 1
08-16 at 16:50:32, name: rc205-1, Alg: random15, #particle: 35 seed: 1
08-16 at 19:58:34, name: rc203-1, Alg: 15, #particle: 35, seed: 1
08-16 at 20:04:57, name: rc106-14, Alg: random16, #particle: 15 seed: 1
08-16 at 21:57:10, name: rc206-1, Alg: random15, #particle: 35 seed: 1
08-16 at 22:18:06, name: rc206-10, Alg: random16, #particle: 15 seed: 1
08-17 at 00:40:57, name: rc204-1, Alg: 15, #particle: 35, seed: 1
08-17 at 04:30:39, name: rc207-1, Alg: random15, #particle: 35 seed: 1
08-17 at 05:32:11, name: rc205-1, Alg: 15, #particle: 35, seed: 1
08-17 at 07:25:07, name: rc107-14, Alg: random16, #particle: 15 seed: 1
08-17 at 09:09:53, name: rc206-1, Alg: 15, #particle: 35, seed: 1
08-17 at 11:09:07, name: rc208-1, Alg: random15, #particle: 35 seed: 1
08-17 at 11:10:39, name: rc207-10, Alg: random16, #particle: 15 seed: 1
08-17 at 14:27:24, name: rc207-1, Alg: 15, #particle: 35, seed: 1
08-17 at 16:52:38, name: rc108-14, Alg: random16, #particle: 15 seed: 1
08-17 at 20:45:36, name: rc208-10, Alg: random16, #particle: 15 seed: 1
08-17 at 21:05:10, name: rc208-1, Alg: 15, #particle: 35, seed: 1
08-18 at 00:21:24, name: rc101-24, Alg: random16, #particle: 15 seed: 1
08-18 at 03:14:25, name: rc201-15, Alg: random16, #particle: 15 seed: 1
08-18 at 07:41:01, name: R1_2_1-5, Alg: 16, #particle: 30, seed: 1
08-18 at 10:01:44, name: rc102-24, Alg: random16, #particle: 15 seed: 1
08-18 at 10:26:15, name: rc202-15, Alg: random16, #particle: 15 seed: 1
08-18 at 16:48:40, name: rc203-15, Alg: random16, #particle: 15 seed: 1
08-18 at 18:21:44, name: rc103-21, Alg: random16, #particle: 15 seed: 1
08-19 at 01:01:15, name: rc104-19, Alg: random16, #particle: 15 seed: 1
08-19 at 02:38:22, name: rc204-15, Alg: random16, #particle: 15 seed: 1
08-19 at 09:18:28, name: rc105-19, Alg: random16, #particle: 15 seed: 1
08-19 at 11:09:42, name: rc205-15, Alg: random16, #particle: 15 seed: 1
08-19 at 15:48:37, name: rc106-19, Alg: random16, #particle: 15 seed: 1
08-19 at 17:46:32, name: rc206-15, Alg: random16, #particle: 15 seed: 1
08-19 at 23:23:27, name: rc107-19, Alg: random16, #particle: 15 seed: 1
08-20 at 03:19:26, name: rc207-15, Alg: random16, #particle: 15 seed: 1
08-20 at 05:14:24, name: C1_2_3-1, Alg: 16, #particle: 15, seed: 1
08-20 at 05:54:58, name: rc108-19, Alg: random16, #particle: 15 seed: 1
08-20 at 10:51:12, name: rc208-15, Alg: random16, #particle: 15 seed: 1
08-20 at 15:02:50, name: rc101-29, Alg: random16, #particle: 15 seed: 1
08-20 at 19:09:32, name: rc201-20, Alg: random16, #particle: 15 seed: 1
08-20 at 23:45:52, name: rc102-29, Alg: random16, #particle: 15 seed: 1
08-21 at 02:44:44, name: rc202-20, Alg: random16, #particle: 15 seed: 1
08-21 at 02:53:07, name: C1_2_4-1, Alg: 16, #particle: 15, seed: 1
08-21 at 08:52:45, name: rc103-26, Alg: random16, #particle: 15 seed: 1
08-21 at 10:53:48, name: rc203-20, Alg: random16, #particle: 15 seed: 1
08-21 at 15:52:15, name: rc104-24, Alg: random16, #particle: 15 seed: 1
08-21 at 18:24:13, name: rc204-20, Alg: random16, #particle: 15 seed: 1
08-21 at 18:31:43, name: R1_2_2-5, Alg: 16, #particle: 15, seed: 1
08-21 at 23:13:02, name: rc105-24, Alg: random16, #particle: 15 seed: 1
08-22 at 01:07:15, name: rc205-20, Alg: random16, #particle: 15 seed: 1
08-22 at 06:33:29, name: rc106-24, Alg: random16, #particle: 15 seed: 1
08-22 at 06:41:33, name: rc206-20, Alg: random16, #particle: 15 seed: 1
08-22 at 09:15:34, name: C2_2_1-5, Alg: 16, #particle: 15, seed: 1
08-22 at 14:08:57, name: rc207-20, Alg: random16, #particle: 15 seed: 1
08-22 at 15:34:00, name: rc107-24, Alg: random16, #particle: 15 seed: 1
08-22 at 19:19:59, name: rc208-20, Alg: random16, #particle: 15 seed: 1
08-22 at 20:49:41, name: rc108-24, Alg: random16, #particle: 15 seed: 1
08-23 at 23:18:12, name: C2_2_2-1, Alg: 16, #particle: 15, seed: 1
08-24 at 00:07:29, name: rc108-5, Alg: 16, #particle: 15, seed: 1
08-24 at 01:54:38, name: rc107-10, Alg: 16, #particle: 15, seed: 1
08-24 at 04:42:34, name: C2_2_2-1, Alg: 16, #particle: 15, seed: 1
08-24 at 08:03:33, name: C2_2_3-1, Alg: 16, #particle: 15, seed: 1
08-24 at 09:07:45, name: rc108-5, Alg: 15, #particle: 15, seed: 1
08-24 at 17:43:54, name: C2_2_4-1, Alg: 16, #particle: 15, seed: 1
08-24 at 20:11:47, name: C2_2_3-1, Alg: 16, #particle: 15, seed: 1
08-25 at 07:43:11, name: r208-5, Alg: 16, #particle: 15, seed: 1
08-25 at 08:44:50, name: rc108-5, Alg: 14, #particle: 15, seed: 1
08-25 at 13:09:30, name: C2_2_5-1, Alg: 16, #particle: 15, seed: 1
08-25 at 13:13:00, name: C2_2_4-2, Alg: 16, #particle: 15, seed: 1
08-25 at 19:22:27, name: rc108-29, Alg: random16, #particle: 15 seed: 1
08-25 at 22:47:11, name: C2_2_6-1, Alg: 16, #particle: 15, seed: 1
08-26 at 02:09:40, name: r208-5, Alg: 15, #particle: 15, seed: 1
08-26 at 07:06:20, name: C2_2_7-1, Alg: 16, #particle: 15, seed: 1
08-26 at 08:03:26, name: rc108-10, Alg: 14, #particle: 15, seed: 1
08-26 at 12:15:56, name: C2_2_5-2, Alg: 16, #particle: 15, seed: 1
08-27 at 03:54:44, name: C2_2_6-2, Alg: 16, #particle: 15, seed: 1
08-27 at 18:37:28, name: C2_2_7-2, Alg: 16, #particle: 15, seed: 1
08-27 at 19:12:33, name: C2_2_9-1, Alg: 16, #particle: 15, seed: 1
08-27 at 19:14:55, name: r208-6, Alg: random16, #particle: 15 seed: 1
08-27 at 20:33:04, name: rc108-5, Alg: random15, #particle: 15 seed: 1
08-27 at 23:56:02, name: C1_2_2-3, Alg: 16, #particle: 15, seed: 1
08-28 at 03:13:45, name: C2_2_10-1, Alg: 16, #particle: 15, seed: 1
08-28 at 19:28:39, name: r210-5, Alg: random16, #particle: 15 seed: 1
08-28 at 20:31:05, name: r210-5, Alg: random15, #particle: 15 seed: 1
08-29 at 22:45:52, name: r210-5, Alg: 16, #particle: 15, seed: 1
08-30 at 01:01:36, name: r210-5, Alg: 15, #particle: 15, seed: 1
08-31 at 06:26:24, name: r208-10, Alg: 16, #particle: 15, seed: 1
08-31 at 06:28:24, name: C2_2_5-7, Alg: 16, #particle: 15, seed: 1
08-31 at 10:11:58, name: r102-10, Alg: 16, #particle: 15, seed: 1
08-31 at 10:17:59, name: r108-5, Alg: 15, #particle: 15, seed: 1
08-31 at 12:55:44, name: C1_2_3-6, Alg: 16, #particle: 15, seed: 1
08-31 at 14:18:07, name: r209-5, Alg: 16, #particle: 15, seed: 1
08-31 at 19:35:36, name: r105-5, Alg: 16, #particle: 15, seed: 1
08-31 at 21:16:37, name: r110-5, Alg: 15, #particle: 15, seed: 1
08-31 at 23:15:01, name: r210-10, Alg: 16, #particle: 15, seed: 1
09-01 at 04:13:28, name: r107-5, Alg: 16, #particle: 15, seed: 1
09-01 at 06:41:49, name: r211-5, Alg: 16, #particle: 15, seed: 1
09-01 at 07:13:37, name: r111-5, Alg: 15, #particle: 15, seed: 1
09-01 at 12:27:46, name: r108-5, Alg: 16, #particle: 15, seed: 1
09-01 at 15:58:05, name: r112-5, Alg: 15, #particle: 15, seed: 1
09-01 at 20:03:32, name: rc101-10, Alg: 16, #particle: 15, seed: 1
09-02 at 04:51:23, name: rc102-10, Alg: 16, #particle: 15, seed: 1
09-03 at 18:55:12, name: r209-10, Alg: 16, #particle: 15, seed: 1
09-03 at 19:05:40, name: rc105-5, Alg: 16, #particle: 15, seed: 1
09-03 at 19:35:18, name: r107-10, Alg: 16, #particle: 15, seed: 1
09-03 at 22:34:56, name: r208-15, Alg: 16, #particle: 15, seed: 1
09-04 at 01:41:08, name: r108-10, Alg: 16, #particle: 15, seed: 1
09-04 at 04:30:22, name: r211-10, Alg: 16, #particle: 15, seed: 1
09-04 at 05:27:33, name: rc107-15, Alg: 16, #particle: 15, seed: 1
09-04 at 07:05:52, name: r105-10, Alg: 16, #particle: 15, seed: 1
09-04 at 08:08:08, name: r112-5, Alg: 16, #particle: 15, seed: 1
09-04 at 11:24:33, name: rc108-10, Alg: 16, #particle: 15, seed: 1
09-04 at 11:31:54, name: rc104-5, Alg: 16, #particle: 15, seed: 1
09-04 at 16:59:59, name: r106-5, Alg: 16, #particle: 15, seed: 1
09-04 at 17:43:46, name: R1_2_1-5, Alg: 16, #particle: 15, seed: 1
09-04 at 18:15:37, name: r107-15, Alg: 16, #particle: 15, seed: 1
09-04 at 20:14:03, name: rc105-10, Alg: 16, #particle: 15, seed: 1
09-04 at 20:34:21, name: r209-15, Alg: 16, #particle: 15, seed: 1
09-05 at 01:49:41, name: r108-15, Alg: 16, #particle: 15, seed: 1
09-05 at 03:10:01, name: rc107-20, Alg: 16, #particle: 15, seed: 1
09-05 at 03:34:53, name: r211-15, Alg: 16, #particle: 15, seed: 1
09-05 at 06:35:15, name: r112-10, Alg: 16, #particle: 15, seed: 1
09-05 at 08:50:25, name: r208-20, Alg: 16, #particle: 15, seed: 1
09-05 at 09:27:38, name: rc108-15, Alg: 16, #particle: 15, seed: 1
09-05 at 11:58:04, name: rc104-10, Alg: 16, #particle: 15, seed: 1
09-05 at 16:06:34, name: r105-15, Alg: 16, #particle: 15, seed: 1
09-05 at 23:58:17, name: R1_2_2-10, Alg: 16, #particle: 15, seed: 1
09-06 at 00:03:05, name: r106-10, Alg: 16, #particle: 15, seed: 1
09-07 at 09:10:34, name: r209-7, Alg: 15, #particle: 15, seed: 1
09-07 at 09:12:49, name: rc105-7, Alg: 15, #particle: 15, seed: 1
09-07 at 10:09:18, name: r107-7, Alg: 15, #particle: 15, seed: 1
09-07 at 12:07:34, name: r208-12, Alg: 15, #particle: 15, seed: 1
09-07 at 18:57:57, name: rc107-10, Alg: 15, #particle: 15, seed: 1
09-07 at 19:31:30, name: r108-10, Alg: 15, #particle: 15, seed: 1
09-07 at 20:51:39, name: r211-5, Alg: 15, #particle: 15, seed: 1
09-07 at 21:57:47, name: r105-5, Alg: 15, #particle: 15, seed: 1
09-08 at 03:21:45, name: r112-10, Alg: 15, #particle: 15, seed: 1
09-08 at 05:18:23, name: rc108-10, Alg: 15, #particle: 15, seed: 1
09-08 at 06:39:26, name: rc104-5, Alg: 15, #particle: 15, seed: 1
09-08 at 08:18:50, name: r106-5, Alg: 15, #particle: 15, seed: 1
09-08 at 20:21:19, name: R1_2_1-10, Alg: 16, #particle: 15, seed: 1
09-08 at 22:57:57, name: C1_2_1-5, Alg: 16, #particle: 15, seed: 1
